...1,n_guesses,entropy_start,entropy_end,mean_entropy_drop,max_entropy_drop,early_entropy_drop,monotone_entropy,green_fraction,yellow_fraction,valid,source
3560104,6,2,10,5.5,10,5,0,0.5333333333333333,0.03333333333333333,NA,real
5642031,5,0,10,4.6,10,1,0,0.44,0.04,NA,real
5453054,6,1,8,4.5,8,3,0,0.4,0.1,NA,real
5409004,5,1,10,3.8,10,3,0,0.2,0.36,NA,real
4970488,3,2,10,5,10,5,0,0.3333333333333333,0.3333333333333333,NA,real
1540031,3,2,10,5.333333333333333,10,6,0,0.4666666666666667,0.13333333333333333,NA,real
6246362,3,1,10,4.333333333333333,10,3,0,0.3333333333333333,0.2,NA,real
828835,5,2,10,5,10,4,0,0.36,0.28,NA,real
2393109,4,0,10,4.75,10,2,0,0.45,0.05,NA,real
4522629,4,1,10,3.75,10,3,0,0.35,0.05,NA,real
3092297,2,4,10,7,10,14,0,0.7,0,NA,real
6331951,3,2,10,5.666666666666667,10,7,0,0.4666666666666667,0.2,NA,real
3095635,3,1,10,6.333333333333333,10,9,0,0.6,0.06666666666666667,NA,real
5506813,6,1,10,4.5,10,2,0,0.3333333333333333,0.23333333333333334,NA,real
5476545,3,0,10,4,10,2,0,0.3333333333333333,0.13333333333333333,NA,real
1539235,3,5,10,7,10,11,0,0.6666666666666666,0.06666666666666667,NA,real
4295576,4,1,10,4.5,10,3,0,0.3,0.3,NA,real
6217417,4,2,10,6.5,10,8,0,0.55,0.2,NA,real
5564819,3,4,10,6,10,8,0,0.4666666666666667,0.26666666666666666,NA,real
3616433,3,1,10,4.666666666666667,10,4,0,0.3333333333333333,0.26666666666666666,NA,real
4021724,5,3,10,4.8,10,6,0,0.4,0.16,NA,real
4627435,5,1,10,3.2,10,1,0,0.28,0.08,NA,real
181413,3,0,10,4,10,2,0,0.3333333333333333,0.13333333333333333,NA,real
1800282,6,0,8,5.166666666666667,8,3,0,0.4666666666666667,0.1,NA,real
6778918,4,1,10,4.5,10,7,0,0.4,0.1,NA,real
6054404,3,1,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
4623053,4,1,10,3.75,10,1,0,0.35,0.05,NA,real
5263364,6,0,10,5.333333333333333,10,0,0,0.5333333333333333,0,NA,real
6178371,4,1,10,6.75,10,9,0,0.65,0.05,NA,real
5252247,3,2,10,5.666666666666667,10,7,0,0.5333333333333333,0.06666666666666667,NA,real
2420851,4,0,10,5,10,3,0,0.4,0.2,NA,real
2301097,2,0,10,5,10,10,0,0.5,0,NA,real
2529294,6,3,10,6.166666666666667,10,6,0,0.5666666666666667,0.1,NA,real
3692661,6,0,10,5.666666666666667,10,2,0,0.5333333333333333,0.06666666666666667,NA,real
4956960,4,1,10,3.75,10,3,0,0.25,0.25,NA,real
3245377,5,3,10,6.2,10,9,0,0.6,0.04,NA,real
2423959,4,1,10,5.5,10,4,0,0.45,0.2,NA,real
4283564,5,1,10,5.6,10,4,0,0.52,0.08,NA,real
690142,6,0,5,3.1666666666666665,5,2,0,0.16666666666666666,0.3,NA,real
1375238,4,2,10,6.5,10,8,0,0.65,0,NA,real
1329077,6,1,10,4.333333333333333,10,3,0,0.4,0.06666666666666667,NA,real
5690853,4,3,10,6.75,10,9,0,0.65,0.05,NA,real
405535,6,2,10,5.333333333333333,10,6,0,0.5333333333333333,0,NA,real
660063,6,2,10,6.666666666666667,10,8,0,0.6666666666666666,0,NA,real
6361358,2,2,10,6,10,12,0,0.5,0.2,NA,real
6043565,4,3,10,3.5,10,4,0,0.3,0.1,NA,real
804769,6,1,10,5,10,4,0,0.3,0.4,NA,real
1037088,5,0,10,3.8,10,0,0,0.28,0.2,NA,real
243218,6,1,10,4.333333333333333,10,1,0,0.36666666666666664,0.13333333333333333,NA,real
4956230,4,1,10,5.75,10,5,0,0.5,0.15,NA,real
3405370,5,0,10,4.2,10,0,0,0.4,0.04,NA,real
1091951,4,3,10,5.5,10,7,0,0.5,0.1,NA,real
1490967,5,0,10,2.8,10,0,0,0.24,0.08,NA,real
151925,3,5,10,6.666666666666667,10,10,0,0.6,0.13333333333333333,NA,real
4768262,5,4,10,6.4,10,10,0,0.64,0,NA,real
1465131,5,2,10,5.8,10,7,0,0.52,0.12,NA,real
2769786,5,2,10,4.6,10,5,0,0.4,0.12,NA,real
5652321,3,2,10,6,10,8,0,0.4666666666666667,0.26666666666666666,NA,real
2375548,6,1,10,7.166666666666667,10,9,0,0.7,0.03333333333333333,NA,real
6220671,4,1,10,4.5,10,2,0,0.35,0.2,NA,real
3586823,6,3,7,5.333333333333333,7,7,0,0.43333333333333335,0.2,NA,real
3715542,6,0,10,3.6666666666666665,10,1,0,0.3,0.13333333333333333,NA,real
6198610,3,3,10,5.333333333333333,10,6,0,0.4666666666666667,0.13333333333333333,NA,real
3681516,4,1,10,5.5,10,4,0,0.5,0.1,NA,real
4006717,6,1,10,4.5,10,2,0,0.36666666666666664,0.16666666666666666,NA,real
2131943,2,5,10,7.5,10,15,0,0.6,0.3,NA,real
2596129,4,2,10,6,10,7,0,0.5,0.2,NA,real
3805029,3,2,10,5.333333333333333,10,6,0,0.4,0.26666666666666666,NA,real
6754859,3,0,10,4.333333333333333,10,3,0,0.4,0.06666666666666667,NA,real
4628251,5,1,10,4.2,10,5,0,0.4,0.04,NA,real
2239536,4,3,10,6.25,10,7,0,0.55,0.15,NA,real
6140911,3,2,10,5,10,5,0,0.4,0.2,NA,real
4372693,4,1,10,3.75,10,3,0,0.3,0.15,NA,real
2102199,2,6,10,8,10,16,0,0.8,0,NA,real
6111550,3,1,10,6.333333333333333,10,9,0,0.6,0.06666666666666667,NA,real
4213326,3,4,10,7,10,11,0,0.6,0.2,NA,real
4491852,5,2,10,5.4,10,5,0,0.44,0.2,NA,real
4138947,4,1,10,4.5,10,4,0,0.4,0.1,NA,real
2190918,5,2,10,5.6,10,6,0,0.48,0.16,NA,real
6240405,6,2,10,7,10,8,0,0.6666666666666666,0.06666666666666667,NA,real
952426,6,1,8,3.8333333333333335,8,3,0,0.3,0.16666666666666666,NA,real
1484127,3,0,10,4,10,2,0,0.4,0,NA,real
6113662,4,3,10,6.75,10,9,0,0.65,0.05,NA,real
1428574,3,4,10,6.333333333333333,10,9,0,0.6,0.06666666666666667,NA,real
3766036,4,3,10,5.5,10,7,0,0.5,0.1,NA,real
466030,6,1,10,4.5,10,2,0,0.36666666666666664,0.16666666666666666,NA,real
60950,2,7,10,8.5,10,17,0,0.8,0.1,NA,real
3167835,4,6,10,8,10,14,0,0.8,0,NA,real
5320269,5,2,10,5,10,5,0,0.48,0.04,NA,real
2027742,3,1,10,5,10,5,0,0.4,0.2,NA,real
3949974,3,6,10,7.333333333333333,10,12,0,0.7333333333333333,0,NA,real
511355,5,3,10,6.8,10,8,0,0.64,0.08,NA,real
1073008,6,3,10,4.666666666666667,10,6,0,0.2,0.5333333333333333,NA,real
3188019,3,0,10,4.333333333333333,10,3,0,0.4,0.06666666666666667,NA,real
1107421,1,10,10,10,10,10,1,1,0,NA,real
6603348,3,4,10,6.666666666666667,10,10,0,0.6666666666666666,0,NA,real
751396,2,3,10,6.5,10,13,0,0.6,0.1,NA,real
1375141,4,2,10,5.75,10,5,0,0.45,0.25,NA,real
4438142,5,2,10,4.4,10,4,0,0.2,0.48,NA,real
6411546,4,0,10,5.75,10,5,0,0.55,0.05,NA,real
5979182,5,3,10,5.6,10,6,0,0.48,0.16,NA,real
2421121,4,1,10,6,10,6,0,0.55,0.1,NA,real
324289,5,1,10,4.2,10,1,0,0.32,0.2,NA,real
2578097,6,2,10,4.666666666666667,10,5,0,0.3,0.3333333333333333,NA,real
3978237,5,3,10,6.6,10,7,0,0.64,0.04,NA,real
4335739,4,2,10,5.25,10,6,0,0.45,0.15,NA,real
2112702,4,2,10,5.5,10,6,0,0.55,0,NA,real
6287557,5,2,10,5,10,4,0,0.36,0.28,NA,real
4076397,4,0,10,4.25,10,3,0,0.4,0.05,NA,real
3332564,3,2,10,5.333333333333333,10,6,0,0.4666666666666667,0.13333333333333333,NA,real
6096089,4,2,10,5.5,10,6,0,0.45,0.2,NA,real
6310334,3,0,10,4.333333333333333,10,3,0,0.3333333333333333,0.2,NA,real
5715766,5,1,10,4.6,10,3,0,0.4,0.12,NA,real
2211672,4,0,10,3.25,10,0,0,0.25,0.15,NA,real
640734,2,0,10,5,10,10,0,0.5,0,NA,real
6394166,4,3,10,6,10,6,0,0.45,0.3,NA,real
2027955,3,0,10,5,10,5,0,0.4,0.2,NA,real
2478310,5,1,10,6,10,6,0,0.56,0.08,NA,real
4299432,4,4,10,6.5,10,10,0,0.65,0,NA,real
3550664,4,2,10,4.75,10,4,0,0.35,0.25,NA,real
6880166,5,2,10,4,10,5,0,0.32,0.16,NA,real
2338857,4,1,10,4.75,10,4,0,0.35,0.25,NA,real
871181,2,1,10,5.5,10,11,0,0.5,0.1,NA,real
428599,4,3,10,5.25,10,9,0,0.4,0.25,NA,real
6779544,4,2,10,6.5,10,8,0,0.6,0.1,NA,real
534592,3,1,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
3801039,2,4,10,7,10,14,0,0.7,0,NA,real
4768163,5,0,10,5,10,2,0,0.48,0.04,NA,real
4180890,5,1,10,4.2,10,3,0,0.4,0.04,NA,real
6186767,5,1,10,5.8,10,3,0,0.52,0.12,NA,real
4137567,4,2,10,4,10,4,0,0.3,0.2,NA,real
2555436,6,2,10,3,10,2,0,0.2,0.2,NA,real
3387031,6,2,10,4.5,10,5,0,0.3333333333333333,0.23333333333333334,NA,real
5077505,6,2,10,6.333333333333333,10,6,0,0.6333333333333333,0,NA,real
6326705,6,2,8,6.166666666666667,8,5,0,0.5666666666666667,0.1,NA,real
5177911,3,1,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
3387841,6,3,10,4.333333333333333,10,4,0,0.3,0.26666666666666666,NA,real
3785580,3,2,10,5.666666666666667,10,7,0,0.4,0.3333333333333333,NA,real
2566747,4,2,10,4.5,10,4,0,0.3,0.3,NA,real
5374007,5,1,10,4.8,10,4,0,0.36,0.24,NA,real
6762929,4,1,10,4,10,2,0,0.3,0.2,NA,real
3593707,3,3,10,6,10,8,0,0.3333333333333333,0.5333333333333333,NA,real
2581976,2,6,10,8,10,16,0,0.7,0.2,NA,real
5482251,4,1,10,4.5,10,4,0,0.4,0.1,NA,real
6166403,4,1,10,4.5,10,3,0,0.3,0.3,NA,real
311260,2,6,10,8,10,16,0,0.7,0.2,NA,real
2777843,6,4,8,6,8,10,0,0.5666666666666667,0.06666666666666667,NA,real
3275511,5,1,10,5.2,10,5,0,0.36,0.32,NA,real
5342895,2,1,10,5.5,10,11,0,0.5,0.1,NA,real
2203794,2,3,10,6.5,10,13,0,0.6,0.1,NA,real
4163450,5,0,10,4.2,10,0,0,0.36,0.12,NA,real
5176152,3,1,10,4.333333333333333,10,3,0,0.3333333333333333,0.2,NA,real
4802937,5,3,10,6.4,10,8,0,0.6,0.08,NA,real
1987771,6,4,10,6,10,8,0,0.5666666666666667,0.06666666666666667,NA,real
3627860,5,2,10,5.4,10,3,0,0.48,0.12,NA,real
1918696,3,0,10,5,10,5,0,0.4666666666666667,0.06666666666666667,NA,real
357238,6,1,10,5.333333333333333,10,4,0,0.5,0.06666666666666667,NA,real
5376400,6,1,10,5.5,10,5,0,0.5,0.1,NA,real
5851327,4,0,10,4.5,10,3,0,0.4,0.1,NA,real
2643221,4,2,10,5.75,10,5,0,0.55,0.05,NA,real
2890769,5,1,10,3.8,10,3,0,0.24,0.28,NA,real
3880319,4,5,10,7.25,10,11,0,0.7,0.05,NA,real
1404179,4,2,10,5,10,5,0,0.4,0.2,NA,real
5952583,3,2,10,5,10,5,0,0.3333333333333333,0.3333333333333333,NA,real
474926,3,0,10,4.666666666666667,10,4,0,0.4666666666666667,0,NA,real
2100605,2,2,10,6,10,12,0,0.5,0.2,NA,real
4050927,2,4,10,7,10,14,0,0.6,0.2,NA,real
